GeneName_Symbol	log2FoldChange
Ptp4a1	-0.005
Khdrbs2	-0.0129
Prim2	0.0259
Rab23	-0.0031
Bag2	0.0038
Zfp451	0.0224
Bend6	-0.0044
Dst	0.0586
RP23-87D8.4	-0.0143
Ccdc115	-0.0689
Imp4	-0.0225
Ptpn18	-0.0159
Arhgef4	6e-04
RP23-348C6.3	-0.0216
Fam168b	0.0288
RP23-348C6.1	0.0115
Plekhb2	-0.0359
Hs6st1	-0.0175
Uggt1	-0.0488
Neurl3	-0.0146
Arid5a	-0.1042
Kansl3	-0.0063
Fer1l5	-9e-04
Lman2l	0.0084
Cnnm4	0.0371
Cnnm3	0.0751
Ankrd23	0.0031
Ankrd39	-0.0392
Sema4c	0.037
Cox5b	-0.0682
Actr1b	-0.0295
Zap70	-0.0156
Tmem131	-0.0108
RP23-328J8.2	-4e-04
Vwa3b	-0.0172
Inpp4a	-0.0251
Coa5	-0.0347
Unc50	-0.148
Mgat4a	-0.0395
2010300C02Rik	-0.0215
Tsga10	0.0045
Lipt1	-0.0196
Mitd1	0.046
Mrpl30	-0.0218
Lyg2	-6e-04
Txndc9	-0.1078
Eif5b	-0.1274
Rev1	-0.0059
Aff3	-0.0052
Lonrf2	0.0134
Chst10	-0.0066
Pdcl3	-0.1772
RP23-101P2.6	0.009
Npas2	-0.1159
Gm3617	-0.0043
Rpl31	-0.068
Tbc1d8	0.0106
Cnot11	0.0188
Gm15832	0.0247
Snord89	0.0151
Rnf149	-0.0053
Creg2	-0.0018
Rfx8	4e-04
Map4k4	-4e-04
Il1r1	0.0019
Slc9a2	-0.0072
Mfsd9	0.0055
Gm9915	0.0013
Gm28175	0.0326
Pantr1	0.0072
Gm20646	-0.0068
Pou3f3	0.1982
Pantr2	0.0039
Mrps9	0.0894
Gpr45	0.0222
Tgfbrap1	0.0035
8430432A02Rik	0.0098
AI597479	0.0124
Nck2	-0.0131
RP23-435E15.3	0.0292
1500015O10Rik	-0.0492
Uxs1	-0.0193
Gm16103	-0.0049
Tpp2	0.1115
Tex30	0.0024
Kdelc1	-0.0151
Bivm	0.0078
Ercc5	-0.0012
Gulp1	0.017
Col3a1	-0.0186
Col5a2	0.0193
Wdr75	-0.059
Gm5526	-0.0272
Slc40a1	-1.4217
Dnah7b	0.0577
Gm8326	-0.0233
Dnah7c	0.0099
Slc39a10	-0.0709
Gm28151	-0.0093
Gm8337	-0.0266
Tmeff2	-0.0145
Sdpr	-0.0368
Nabp1	0.001
Myo1b	-0.0225
ENSMUSG00000109599	0.005
Stat1	-0.079
Gls	0.0039
Nab1	-0.0514
Tmem194b	0.0265
Mfsd6	-0.0249
Inpp1	0.1367
Hibch	0.0706
1700019D03Rik	-0.0467
Pms1	-9e-04
Ormdl1	0.0083
Osgepl1	0.1804
Gm28551	0.007
Asnsd1	0.0357
Dnah7a	-0.0662
Stk17b	0.0219
Gtf3c3	0.0154
Pgap1	-0.012
RP24-290F15.1	-0.0011
Ankrd44	-0.0108
Sf3b1	-0.021
Coq10b	0.0768
Gm17971	0.0127
Hspd1	0.0474
Hspe1	0.0213
Mob4	-0.0052
Rftn2	0.0295
Gm10561	0.0789
Mars2	0.0088
Gm8292	0.0114
Plcl1	-9e-04
BC055402	0.0459
1700066M21Rik	0.0309
Tyw5	-0.1158
9430016H08Rik	0.0788
Spats2l	-0.0644
Kctd18	0.0067
Aox1	0.0208
RP24-191N24.2	0.0149
Bzw1	-0.0098
Clk1	0.0396
Ppil3	-0.0168
Nif3l1	0.0055
Orc2	0.0247
Gm15834	0.0017
Fam126b	-0.0433
Ndufb3	-0.025
Als2cr12	0.0043
Gm20257	0.0102
Cflar	-0.0207
Casp8	-0.0273
Trak2	-0.0288
Stradb	-0.0079
Tmem237	-0.1213
G730003C15Rik	0.0111
Mpp4	0.013
Gm29017	0.0068
Als2	6e-04
Fzd7	0.0753
Gm973	-0.1024
Sumo1	-0.2009
Nop58	-0.0256
Bmpr2	-0.014
Fam117b	1e-04
RP23-27C10.2	0.001
Ica1l	0.0015
Wdr12	-0.0053
Carf	0.023
Nbeal1	0.0288
Cyp20a1	0.0437
RP23-264G9.1	0.0054
Abi2	0.007
Raph1	0.0051
Gm11578	-0.0076
Eif4a-ps4	-0.0308
Cd28	0.0071
Pard3b	0.0221
Nrp2	0.0176
Gm29083	0.0102
Ino80d	0.0548
Ino80dos	0.0421
Gm20342	0.0102
Ndufs1	-0.021
Eef1b2	-0.0273
Adam23	0.3692
Mdh1b	-0.0097
Fastkd2	0.0556
4933402D24Rik	0.0056
Klf7	0.1754
Creb1	-0.0191
Mettl21a	0.0869
Gm28982	-0.0266
Ccnyl1	0.0083
Fzd5	-0.0015
Plekhm3	0.0138
Rpl10a-ps1	-0.004
Idh1	0.062
Pikfyve	0.0146
Map2	0.0359
Gm10558	-5e-04
Unc80	0.0042
Rpe	-0.0121
Kansl1l	0.2384
RP24-429G21.5	-0.0065
RP24-429G21.4	0.0291
RP24-429G21.3	0.003
Gm15789	0.0072
RP24-429G21.2	0.0136
RP24-429G21.1	0.0043
Acadl	0.0785
Lancl1	0.1902
Erbb4	0.0058
Ikzf2	0.0896
Gm29112	0.0073
Spag16	-0.049
Atic	0.0098
Fn1	-2.6978
Gm24497	-0.008
Pecr	-0.0529
Tmem169	-0.0054
Xrcc5	0.0274
Smarcal1	0.0666
Rpl37a	-0.0197
Igfbp2	-0.0059
Igfbp5	0.0296
1700027A15Rik	-0.0083
6030407O03Rik	0.0038
Tns1	-0.0136
Arpc2	-0.1662
Aamp	-0.0713
Pnkd	0.0413
RP23-280F6.5	-0.0441
Tmbim1	0.0721
RP23-280F6.6	0.0045
Catip	0.0342
Slc11a1	-0.0172
Ctdsp1	0.0321
Vil1	-0.0082
Usp37	-0.1121
Rqcd1	-0.0747
Plcd4	-0.0192
Zfp142	-0.0074
Bcs1l	-0.0542
Rnf25	-6e-04
Stk36	-0.0092
Ttll4	-0.0597
Cyp27a1	-0.0305
Ccdc108	-0.0251
Nhej1	-0.0214
Cnppd1	0.0172
Fam134a	0.1296
Zfand2b	-0.0623
Abcb6	-0.0406
Atg9a	0.0187
Ankzf1	0.0252
Glb1l	-0.0191
Stk16	-0.0135
Tuba4a	-0.0252
Dnajb2	0.0353
Ptprn	-0.0197
Resp18	-0.0172
Dnpep	-0.0455
Des	-0.0142
Speg	0.0291
Gmppa	-0.0393
Asic4	0
Chpf	0.1804
Obsl1	0.0048
Tmem198	-0.0248
Inha	0.0529
Stk11ip	0.0321
Slc4a3	0.0268
Epha4	0.227
Sgpp2	-3.5548
Farsb	0.0488
Mogat1	0.0041
Acsl3	0.0908
Utp14b	0.0445
Kcne4	-0.0094
Scg2	0.0036
Wdfy1	0.0229
Mrpl44	0.0388
Serpine2	-0.3155
Gm5529	-0.0301
Cul3	-0.0443
Dock10	-0.019
Irs1	0.0076
Rhbdd1	0.019
Col4a4	-0.0011
Col4a3	0.0013
C430014B12Rik	0.0062
Mff	-0.0148
Gm28941	-0.0061
Agfg1	-0.0057
Slc19a3	-0.0279
Krtap28-13	-0.0081
Daw1	-0.0022
Pid1	0.0536
Dner	0.1189
RP24-208F6.1	0.0053
Trip12	-0.0017
Fbxo36	-0.1754
Sp110	-0.0144
Sp140	-0.01
Sp100	-2.8108
A630001G21Rik	-0.012
Cab39	0.0023
Itm2c	-0.0607
4933407L21Rik	-0.0514
Gm18180	-0.0051
Spata3	0.1432
2810459M11Rik	0.0894
Psmd1	-0.0127
Armc9	0.0229
B3gnt7	-0.0013
Ncl	-0.0033
C130036L24Rik	-0.0079
Ptma	0.0203
Pde6d	-0.1497
Cops7b	-0.0099
Nppc	-0.0235
Dis3l2	-0.0053
Gm29055	0.0091
RP23-26I10.2	-0.0045
Gm6136	0.013
RP24-286D13.3	-0.0156
Ecel1	-0.0084
Eif4e2	0.0286
Efhd1	0.0034
Gigyf2	0.0582
Kcnj13	-0.0063
Ngef	0.2564
Neu2	-0.0052
Inpp5d	-0.0442
Atg16l1	-0.0209
Gm25395	-0.008
Dgkd	0.0109
Gm19582	0.0068
RP24-398O5.2	0.0086
Usp40	0.0276
Ugt1a7c	-0.0098
Ugt1a6a	-0.0023
Dnajb3	0.0349
Mroh2a	-0.0047
Hjurp	-0.0089
Arl4c	-0.0382
Sh3bp4	-0.0325
Agap1	-0.0257
RP23-102K8.1	-0.0085
Iqca	-0.0104
Ackr3	-0.8266
Cops8	-0.0404
Col6a3	-0.0073
Mlph	-0.0131
Lrrfip1	-0.0807
Ramp1	-0.2648
Ube2f	-0.107
Scly	0.0505
Ilkap	0.1149
Hes6	-0.0278
Per2	-0.0244
Traf3ip1	0.0149
Asb1	0.0171
Hdac4	0.039
Ndufa10	-0.0113
Myeov2	-0.0924
Gpc1	0.0502
Dusp28	-0.0314
5033417F24Rik	0.0046
Rnpepl1	0.036
9430060I03Rik	0.0171
Capn10	-0.047
Gpr35	0.0026
Kif1a	-0.1299
E030010N08Rik	-0.0037
Sned1	0.0209
Mterf4	0.0133
Pask	0.007
Ppp1r7	-0.011
Hdlbp	-0.0691
Sept2	0.0074
Farp2	-0.0016
RP23-302H1.1	0.0115
Stk25	-0.012
Bok	-1.6602
Thap4	0.0039
Atg4b	-0.0777
Dtymk	0.054
Ing5	0.0163
D2hgdh	0.0267
Neu4	-0.0188
Gm7895	0.0151
Fam174a	-0.1375
RP23-192P10.3	5e-04
Gm15427	-0.0129
St8sia4	-0.0215
D1Ertd622e	0.0496
Ppip5k2	-0.0123
Gin1	-7e-04
Pam	0.0127
Gm3531	0.0073
B230216N24Rik	0.0027
Gm7967	0.0634
Gm29460	0.0113
Tdpx-ps1	-0.0179
Cdh20	0.1016
RP24-267G24.1	1e-04
Rnf152	-0.0098
Gm3608	-0.011
Pign	-0.0134
2310035C23Rik	0.0199
RP24-283P23.1	0.0046
Tnfrsf11a	-0.0085
Gm7160	-0.0181
Zcchc2	-0.0362
Phlpp1	0.0837
RP24-92A2.1	0.035
Bcl2	0.0641
Kdsr	0.0689
Vps4b	-0.016
Serpinb5	3e-04
Cdh19	-0.0071
RP24-222G3.1	-8e-04
Dsel	-0.0034
Tsn	-0.0205
Nifk	0.1047
Clasp1	0.0549
2900060B14Rik	0.0109
Tfcp2l1	-0.0059
Gli2	0.0193
Gm26831	-1e-04
Inhbb	0.0048
Ralb	-0.0673
Gm27184	0.0052
Tmem185b	0.2578
Epb4.1l5	0.0077
Ptpn4	0.1233
RP23-274C16.4	-0.0018
Tmem177	-0.0427
Cfap221	-0.0092
Sctr	0.0597
Tmem37	-0.067
Dbi	-0.0524
3110009E18Rik	-0.0257
Steap3	0.2489
Celrr	0.0365
Insig2	-0.1048
RP24-98O21.4	0.0036
Ccdc93	-0.0214
Htr5b	-0.0248
Ddx18	0.0201
Actr3	-0.0215
Slc35f5	0.0225
Lypd1	-0.0308
Nckap5	0.0036
Mgat5	0.6444
RP23-323H18.2	0.0063
Gm8451	0.0159
Tmem163	-0.0304
Acmsd	0.0066
Ccnt2	0.0425
Map3k19	-0.0225
Rab3gap1	-0.0048
Zranb3	0.0019
Gm28800	0.0072
Rpl28-ps1	-0.001
R3hdm1	0.0043
RP23-114N13.4	0.0231
Ubxn4	0.0488
Mcm6	-0.0042
Dars	-0.0344
Cxcr4	0.0036
Cd55	-0.0189
Gm16083	-0.0142
Pfkfb2	0.0135
Yod1	0.006
RP24-87I22.4	-0.0023
AA986860	0.0022
Mapkapk2	0.024
Dyrk3	0.006
Eif2d	0.0739
Rassf5	-0.0346
Ikbke	0.0115
Srgap2	-0.036
RP24-81A5.2	-0.0037
Fam72a	-0.0038
5430435G22Rik	0.0131
Pm20d1	0.0205
Slc41a1	0.0597
Rab29	0.0155
Nucks1	-0.0624
Elk4	0.0346
Mfsd4	-0.0123
Klhdc8a	0.0061
Nuak2	-0.0089
Tmcc2	-0.0135
Dstyk	-0.0068
6030442K20Rik	0.0057
Rbbp5	0.0215
Tmem81	0.0273
Cntn2	0.0072
Nfasc	0.0172
Lrrn2	0.0015
Mdm4	0.3284
Ppp1r15b	0.0106
Plekha6	-0.0226
Gm19461	-0.0084
Etnk2	-0.0112
Sox13	-0.0281
Snrpe	0.0083
Zc3h11a	-0.0284
Zbed6	0.0099
Atp2b4	0.0105
Optc	-0.0207
Gm15851	0.0193
Prelp	0.012
Fmod	-0.0543
Btg2	-0.8338
RP23-393C3.4	0.0105
Chil1	-0.0959
Adora1	-0.2691
Ppfia4	-0.0417
Tmem183a	0.0053
Cyb5r1	0.0233
Adipor1	-0.0749
RP24-547I3.2	-0.0205
Klhl12	0.0192
Rabif	-0.0723
Kdm5b	0.0333
Ppp1r12b	-0.0378
RP24-541A5.3	0.0031
Ube2t	0.0085
Lgr6	-0.0404
Arl8a	-0.0464
Gm26280	-0.0096
Gm15445	-0.0066
Gpr37l1	0.4199
Gm4204	-0.0154
Gm26642	0.0103
Rnpep	0.087
Timm17a	-0.0944
Lmod1	-0.0222
Shisa4	-0.068
Ipo9	-0.0089
Nav1	-0.0272
Csrp1	0.3291
Phlda3	-0.0312
Tmem9	0.08
Gm15850	0.004
Kif21b	0.0501
5730559C18Rik	-0.0044
Camsap2	0.0122
9230116N13Rik	0.0117
Ddx59	0.0138
Zfp281	0.0453
Gm4258	0.0127
RP23-393I12.3	-0.0098
RP23-393I12.4	0.0042
RP23-393I12.5	-0.0056
Ptprc	-0.0131
Nek7	-0.0563
RP23-209N14.4	0.014
Lhx9	0.0084
2310009B15Rik	0.0081
RP23-114L12.1	-0.0028
Dennd1b	0.0498
4930596I21Rik	0.0079
RP23-114L12.6	-5e-04
ENSMUSG00000105936	2e-04
RP24-260D21.1	0.0019
Zbtb41	0.0494
RP23-13N24.1	-0.0055
Cfh	-0.0489
Gm5835	-0.0048
Cdc73	0.0103
B3galt2	-0.0699
Glrx2	-0.0321
Trove2	0.0481
Uchl5	-0.0543
Gm29170	-7e-04
Rgs2	-0.0643
Rgs1	-0.0141
Gm29514	0.0366
Brinp3	0.0317
Pla2g4a	-0.0154
Ptgs2	0.0053
Gm15453	0.0095
BC003331	0.0201
Tpr	-0.0208
Prg4	0.005
Hmcn1	-0.0169
Gm10138	-0.0054
Ivns1abp	-0.2456
Swt1	-0.0749
Trmt1l	-0.1158
RP24-167M10.4	0.0174
Rnf2	0.0119
Fam129a	-0.0101
2810414N06Rik	0.0081
Edem3	-0.0445
1700025G04Rik	-0.0274
Tsen15	0.0201
Colgalt2	0.0164
Rgl1	-0.2179
Arpc5	-0.1403
Ncf2	-0.0278
Smg7	0.0279
Nmnat2	-0.0306
Lamc1	-0.0987
Dhx9	-0.0284
Npl	-0.0132
Rgs8	0.0036
Rgs16	-0.0065
Rnasel	-0.0109
Teddm2	0.1221
Glul	-0.0826
A830008E24Rik	-0.0654
Zfp648	0.0034
Ier5	-0.1196
Mr1	-0.0072
Stx6	-0.1423
BC034090	0.016
Xpr1	0.1819
Gm5532	-0.0019
Acbd6	-0.027
Qsox1	0.0203
Cep350	0.0227
Tor1aip1	0.0086
RP24-321N12.1	0.0084
Tor1aip2	0.2703
Fam163a	0.0508
Axdnd1	-0.0129
Gm2000	-0.0188
Soat1	0.0116
RP24-228M19.3	0.0062
Abl2	-0.0073
RP23-363M8.2	0.0132
Tor3a	-0.0506
Fam20b	-5e-04
Ralgps2	0.0253
Angptl1	-0.0044
RP24-444I15.1	0.0089
Rasal2	0.0339
RP24-227F14.1	-0.0016
2810025M15Rik	-0.0591
BC026585	-0.0769
Brinp2	-0.0068
Astn1	-0.0183
RP24-168F13.1	0.0194
RP23-411L6.1	-0.0197
RP23-411L6.2	0.0098
RP23-411L6.3	-0.0922
Rfwd2	0.0158
Tnr	-0.012
4930523C07Rik	-0.2378
Mrps14	-0.0427
Cacybp	-0.1329
RP23-71J17.5	0.015
Rabgap1l	-0.0199
RP24-540L1.2	0.0098
RP24-546N2.2	0.0065
Rc3h1	0.0292
RP24-188H2.3	0.0021
RP24-188H2.5	0.014
Zbtb37	-0.0216
RP24-297J20.5	-0.002
Gas5	0.0273
Dars2	-0.0816
Cenpl	-0.0096
Klhl20	-0.01
Ankrd45	-0.0257
RP23-16I21.1	0.0036
Prdx6	0.0087
Gm15429	0.0283
Suco	0.0091
Pigc	0.0021
Dnm3	-0.0232
Dnm3os	-0.0079
Mettl13	-0.0038
Vamp4	-0.0066
Myoc	0.0179
Prrc2c	-0.0398
Fmo1	-0.0224
Fmo2	-0.014
Prrx1	0.1068
Gm20471	0.02
Gorab	0.0266
Mettl11b	0.0029
Kifap3	-0.0647
Scyl3	0.0011
BC055324	-0.0103
Mettl18	-4e-04
Gm16548	-6e-04
F5	-0.0234
Slc19a2	-0.0066
Ccdc181	-0.0882
Blzf1	-0.0101
Nme7	0.1127
Atp1b1	0.1264
RP24-272N10.3	0.0059
RP23-152I6.3	0.0214
RP23-152I6.4	0.0228
Sft2d2	-0.3213
Tiprl	0.0147
RP23-187M7.5	0.0193
Gpr161	0.0049
Dcaf6	0.039
RP24-323I23.1	0.0049
Mpc2	-0.0554
Mpzl1	-0.2744
Rcsd1	-2.5179
Creg1	-0.0117
Pou2f1	0.0225
Ildr2	0.0603
Tada1	0.1203
Pogk	-0.0116
Gm16418	-0.0136
Fam78b	9e-04
Uck2	0
Tmco1	-0.0406
Gm25911	0.0127
Aldh9a1	-0.0526
Mgst3	-0.0528
Rxrg	0.012
Lmx1a	0.0095
Pbx1	-0.0401
RP24-93F24.2	0.0154
Nuf2	0.0113
Rgs5	-0.1418
Rgs4	-0.055
1700084C01Rik	0.0372
Gm15852	2e-04
Hsd17b7	0.0134
3110045C21Rik	0.0497
Ddr2	-0.0139
Uap1	-0.1374
RP23-124N16.3	0.014
Uhmk1	-0.0912
Gm6345	-0.0499
Gm7694	0.0305
Nos1ap	0.0353
1700015E13Rik	2e-04
Olfml2b	-0.0022
Atf6	0.0042
Gm9929	-0.0047
Dusp12	-0.0223
Gm2962	0.0012
Fcgr2b	-0.0357
Fcgr3	-2.9382
1700009P17Rik	-0.137
Sdhc	-0.0652
Pcp4l1	-2.1783
Nr1i3	-0.0086
Tomm40l	-0.0726
Apoa2	-0.015
Fcer1g	-2.4744
Ndufs2	-0.0647
B4galt3	-0.0037
Ppox	0.0446
Usp21	-0.1234
Ufc1	-0.0418
RP23-395H6.2	0.009
Dedd	0.0113
Nit1	0.1212
Pfdn2	-0.0461
Klhdc9	0.0144
Pvrl4	-0.0046
Arhgap30	-0.0165
Usf1	0.2837
Tstd1	-0.0028
F11r	-2.705
Alyref2	6e-04
Cd48	-0.0177
Cd84	-0.014
Vangl2	-0.0134
Ncstn	-0.0254
Copa	-0.0716
Pex19	-0.0688
Gm10171	0.007
Dcaf8	0.0388
Pea15a	-0.3579
Casq1	0.0058
Igsf8	0.1927
Atp1a2	0.0942
Kcnj10	-0.0207
Pigm	0.0096
Igsf9	-0.0055
Tagln2	-2.4667
Cfap45	-0.0223
Dusp23	-0.0077
Ackr1	-0.0083
Cadm3	0.0037
Ifi203	-0.0087
Fmn2	0.0698
Rgs7	-0.4365
Fh1	0.0385
Kmo	-0.0013
Chml	-0.0084
Cep170	-0.0414
Sdccag8	0.0309
RP23-293I7.1	-0.0088
RP23-293I7.4	-0.0105
RP23-293I7.7	-0.0105
Akt3	0.0371
Gm26801	0.0107
Zbtb18	-0.004
Adss	-0.0707
Gm16432	-0.0228
RP23-243J5.2	0.0094
Desi2	0.0266
RP24-252K15.3	-0.0296
B230369F24Rik	0.0407
Cox20	-0.0045
Hnrnpu	-0.0154
Efcab2	-0.0855
Kif26b	0.004
Smyd3	0.0445
Tfb2m	0.0147
Cnst	0.0085
Sccpdh	-0.0172
Ahctf1	0.0254
Cdc42bpa	0.0766
Adck3	0.0325
Psen2	0.0715
RP23-226J18.5	-0.0025
Gm5069	-0.1861
Itpkb	-0.1033
RP24-74O18.2	-0.0542
Parp1	-0.0241
Lin9	-0.016
Acbd3	0.0187
RP23-201I6.5	-0.028
RP23-201I6.6	-0.0024
H3f3a	0.0145
H3f3aos	0.0092
Sde2	-0.035
Pycr2	-0.0619
Lefty1	0.0099
Tmem63a	-0.017
Ephx1	-0.0868
Nvl	-0.1891
Cnih4	-0.1759
Wdr26	0.0719
A430110L20Rik	-0.0027
Cnih3	-0.0114
Ccdc121	-0.0048
Dnah14	0.0176
Lbr	-0.0184
Enah	-0.02
RP23-73N8.3	0.009
Srp9	-0.0963
Degs1	0.0289
1700047M11Rik	0.0487
Fbxo28	0.0064
Gm10517	-0.0064
Trp53bp2	0.044
Capn2	0.0012
RP23-67I3.4	0.0639
RP23-67I3.5	0.047
Capn8	0.0033
Susd4	-0.0072
Disp1	-5e-04
RP24-268A16.1	0.0122
Brox	0.0062
Aida	0.0072
Mia3	0.0102
CAAA01083517.1	-0.0077
Taf1a	-0.0452
Dusp10	-0.0101
Hlx	-0.0118
Marc1	-0.0099
Marc2	-0.0853
C130074G19Rik	-0.032
Mark1	-0.0558
Rab3gap2	-0.0031
Iars2	-0.0115
Bpnt1	0.0828
4930532G15Rik	-0.0019
Eprs	-0.071
Gm2061	0.0184
Slc30a10	0.0662
RP24-170O7.1	0.0118
Lyplal1	0.0398
Tgfb2	0.0476
Gm29491	0.0039
Rrp15	-0.0596
A430105J06Rik	-0.0064
Spata17	-0.0306
ENSMUSG00000107163	-0.0027
Gpatch2	0.029
RP23-306B14.3	0.0143
RP23-349L18.2	0.0076
Esrrg	0.0016
Kctd3	-0.231
Kcnk2	0.0442
RP23-411B11.2	0.005
RP23-411B11.3	0.0074
Cenpf	-0.0128
Ptpn14	-0.0087
RP24-288J3.2	0.0096
Smyd2	-0.0237
Prox1	0.0279
Prox1os	-0.0125
Rps6kc1	-0.0336
Angel2	-0.052
Mfsd7b	-0.0106
A230020J21Rik	0.0129
Spata45	-0.0035
Tatdn3	0.0616
Atf3	-2.1355
D730003I15Rik	-0.0382
Nenf	-0.174
Tmem206	-0.0267
Ppp2r5a	0.2211
RP23-103B18.8	0.0123
Ints7	-0.0154
Lpgat1	-0.013
Slc30a1	0.0268
Rd3	-0.0161
Gm26670	-0.0015
Traf5	0.0057
WI1-1003N17.1	-0.0013
Rcor3	0.0813
Gm10516	0.0021
Hhat	5e-04
Sertad4	-0.0011
Syt14	-0.0037
Diexf	0.0114
Irf6	-0.012
A130010J15Rik	-0.0033
Traf3ip3	-0.0067
Lamb3	0.0058
Hsd11b1	0.0765
G0s2	0.0156
Plxna2	-0.0111
RP23-288J11.1	0.0074
Cd34	-2.8907
Gm16897	-0.0112
A330023F24Rik	-0.0079
RP23-445K23.5	-0.0152
Cd46	0.0221
RP23-82P18.3	0.0115
RP23-82P18.4	0.0072
Cr1l	0.1021
Cr2	0.0207
Fam171a1	-0.0271
Nmt2	0.0025
Rpp38	0.0084
Acbd7	-7e-04
Meig1	-0.0426
Dclre1c	0.0299
Suv39h2	0.0127
Hspa14	-0.1168
Hspa14	0.0178
Cdnf	-0.0056
Fam107b	0.0316
Frmd4a	-0.1337
RP23-74F20.2	0.0163
RP23-416H10.6	0.0196
RP23-416H10.8	-0.0158
Prpf18	0.0103
Bend7	0.0147
Sephs1	0.0171
Phyh	-0.0299
Gm13194	-0.0056
Ucma	-0.0493
Optn	0.0223
Ccdc3	-0.9388
Camk1d	-0.1088
Cdc123	-0.1172
Nudt5	0.0037
Gm13199	-0.0095
Sec61a2	-0.0117
Dhtkd1	0.0201
Upf2	-0.1371
Proser2	-0.0032
Echdc3	0.0026
Usp6nl	0.003
Celf2	0.1545
Gm13389	-7e-04
Taf3	-0.0713
RP23-393G10.4	-0.0018
Atp5c1	0.0308
Kin	0.0247
Itih5	-0.6367
Sfmbt2	0.0039
Prkcq	-0.016
Gm13293	-0.0065
Gm13292	-0.0042
Pfkfb3	-0.0136
Rbm17	-0.0386
Il15ra	0.0361
Fbxo18	-0.0454
Ankrd16	0.0143
Itga8	-0.0102
Fam188a	-0.154
RP23-232K16.2	0.014
Pter	-0.0288
C1ql3	-0.0062
Rsu1	-0.0553
Gm13270	0.0053
Cubn	-0.0131
Trdmt1	0.0178
Vim	-0.1187
St8sia6	-0.0122
Ptpla	-0.0069
Stamos	-0.0028
Stam	-0.0052
Mrc1	-0.0083
Slc39a12	-0.0208
Cacnb2	-0.0225
Nsun6	0.0087
Arl5b	0.0417
RP23-379F6.3	0.0201
Plxdc2	-0.0253
Gm13325	0.0043
Gm13322	-0.0144
Nebl	-0.0297
A930004D18Rik	0.0255
Skida1	0.0298
Mllt10	0.0035
Dnajc1	0.0401
Commd3	-0.0352
Bmi1	-0.0034
Pip4k2a	-0.0472
Armc3	-0.0079
Msrb2	-0.0767
1810010K12Rik	0.0066
Otud1	0.0412
Arhgap21	-0.1477
Gm13375	0.0291
Enkur	-0.0295
Thnsl1	0.0326
Gpr158	0.0198
Gm13342	-0.0222
Gm13341	-0.003
Gm13340	-0.0505
Gm13339	-0.0152
Apbb1ip	-0.031
A130006I12Rik	0.0209
Pdss1	9e-04
Abi1	0.019
Acbd5	-0.0333
Mastl	0.0101
Yme1l1	0.0253
Spopl	0.0048
Hnmt	-0.0208
Psd4	-0.0076
Ehmt1	0.0131
RP23-358I10.4	0.0118
Arrdc1	-0.0655
Zmynd19	0.0373
Dph7	0.1727
Mrpl41	-0.0198
Pnpla7	0.0106
Gm13370	0.0119
Gm13369	0.0168
Nsmf	0.1841
ENSMUSG00000118563	0.0072
Gm13387	0.0248
Nrarp	0.0827
Tor4a	0.0031
Nelfb	0.0336
Tubb4b	-0.072
Cysrt1	-0.001
Rnf208	0.0058
Ndor1	0.0213
Tmem203	0.0135
